user1_id,user2_id,time
193,123,0
145,14,0
90,1,0
125,26,0
136,159,0
164,113,0
72,134,0
89,190,0
83,109,0
1,118,0
134,92,0
101,143,0
124,178,0
55,144,0
112,58,0
25,56,0
199,166,0
93,129,0
112,119,0
60,127,0
14,29,0
99,123,0
143,54,0
174,159,0
184,100,0
29,60,0
45,14,0
19,61,0
6,135,0
62,151,0
172,145,0
155,41,0
69,38,0
86,170,0
0,17,0
169,25,0
84,159,0
150,172,0
141,31,0
21,100,0
95,56,0
59,135,0
86,193,0
61,73,0
159,105,0
20,170,0
158,161,0
63,92,0
190,143,0
41,147,0
0,66,1
142,198,1
181,23,1
83,165,1
39,61,1
80,155,1
49,9,1
181,100,1
34,50,1
97,16,1
74,61,1
171,16,1
150,131,1
161,170,1
188,46,1
163,69,1
17,10,1
38,132,1
185,129,1
165,186,1
89,131,1
126,27,1
34,143,1
54,63,1
82,21,1
43,157,1
24,198,1
61,26,1
176,98,1
104,35,1
182,68,1
109,58,1
36,122,1
76,98,1
84,79,1
59,105,1
183,0,1
15,78,1
144,118,1
87,22,1
170,41,1
73,1,1
184,71,1
139,195,1
64,64,1
182,19,1
49,126,1
33,119,1
166,94,1
148,194,1
79,28,2
19,10,2
126,48,2
182,17,2
195,63,2
179,102,2
29,81,2
15,88,2
119,193,2
193,159,2
137,141,2
16,185,2
19,148,2
99,20,2
173,164,2
121,2,2
179,125,2
17,102,2
157,79,2
148,159,2
85,165,2
143,81,2
162,53,2
124,163,2
74,176,2
47,30,2
173,5,2
56,87,2
52,3,2
170,44,2
196,187,2
116,48,2
148,68,2
198,84,2
198,60,2
57,72,2
96,43,2
97,129,2
164,108,2
98,55,2
90,86,2
169,86,2
86,136,2
7,157,2
34,88,2
160,84,2
18,16,2
156,104,2
152,194,2
160,66,2
166,78,3
0,88,3
116,136,3
173,97,3
136,169,3
5,87,3
73,142,3
27,61,3
86,39,3
18,82,3
96,32,3
78,85,3
39,124,3
110,1,3
186,127,3
113,29,3
61,153,3
106,60,3
87,24,3
72,61,3
56,149,3
178,196,3
114,138,3
32,113,3
5,144,3
54,162,3
38,132,3
191,191,3
79,85,3
79,177,3
22,86,3
98,132,3
63,18,3
114,107,3
183,28,3
79,83,3
187,167,3
183,126,3
175,63,3
43,110,3
22,65,3
40,197,3
140,123,3
126,16,3
141,49,3
147,110,3
145,120,3
187,54,3
124,44,3
81,52,3
156,37,4
98,57,4
43,5,4
166,64,4
172,1,4
113,29,4
131,156,4
157,112,4
28,155,4
115,196,4
44,2,4
69,103,4
112,192,4
57,187,4
198,38,4
189,39,4
184,97,4
130,78,4
55,195,4
16,55,4
5,162,4
45,104,4
80,111,4
156,65,4
62,29,4
42,78,4
85,52,4
30,63,4
67,90,4
115,76,4
104,60,4
10,179,4
18,193,4
5,193,4
66,166,4
191,107,4
30,129,4
181,12,4
143,18,4
69,69,4
49,186,4
103,194,4
119,123,4
33,124,4
193,98,4
79,172,4
1,41,4
39,166,4
59,129,4
175,174,4
164,124,5
93,57,5
141,9,5
92,192,5
187,171,5
115,71,5
88,80,5
4,141,5
172,148,5
186,1,5
43,73,5
20,4,5
52,137,5
75,3,5
47,78,5
11,38,5
179,9,5
188,117,5
34,75,5
48,44,5
193,94,5
127,153,5
125,24,5
186,54,5
92,89,5
47,7,5
52,84,5
99,86,5
179,6,5
83,7,5
124,160,5
16,16,5
175,118,5
170,71,5
99,191,5
139,176,5
88,0,5
5,70,5
60,22,5
106,169,5
89,152,5
67,22,5
43,50,5
189,144,5
41,184,5
41,119,5
115,155,5
190,31,5
0,96,5
49,130,5
143,193,6
166,118,6
61,33,6
29,41,6
195,94,6
117,19,6
177,192,6
147,88,6
112,177,6
38,159,6
40,83,6
128,190,6
158,173,6
83,114,6
199,136,6
104,83,6
172,149,6
125,148,6
10,24,6
164,168,6
177,89,6
7,57,6
142,181,6
36,157,6
168,130,6
97,72,6
173,54,6
151,126,6
0,177,6
137,69,6
113,32,6
98,188,6
66,81,6
33,100,6
7,87,6
170,11,6
83,174,6
41,121,6
85,101,6
187,52,6
76,23,6
80,36,6
30,99,6
55,28,6
61,184,6
104,60,6
119,86,6
69,118,6
108,130,6
59,1,6
55,16,7
4,148,7
169,74,7
29,9,7
98,23,7
132,30,7
102,69,7
115,109,7
168,19,7
21,64,7
178,10,7
62,142,7
96,126,7
69,78,7
167,3,7
99,105,7
17,62,7
88,194,7
67,196,7
193,80,7
112,123,7
151,119,7
75,123,7
198,30,7
188,67,7
24,97,7
56,89,7
8,96,7
77,104,7
104,152,7
176,40,7
101,168,7
164,46,7
156,183,7
87,11,7
50,40,7
189,34,7
17,112,7
118,135,7
82,52,7
168,100,7
158,60,7
120,128,7
54,190,7
51,141,7
101,151,7
189,196,7
124,189,7
172,54,7
83,17,7
16,137,8
81,52,8
14,18,8
79,16,8
155,124,8
13,122,8
19,198,8
5,5,8
42,6,8
160,157,8
198,1,8
177,163,8
193,178,8
71,45,8
72,140,8
77,196,8
106,103,8
183,27,8
47,138,8
63,20,8
74,81,8
103,65,8
71,146,8
115,95,8
121,156,8
92,8,8
154,103,8
110,109,8
154,83,8
3,45,8
154,38,8
148,62,8
138,13,8
147,172,8
130,26,8
185,141,8
136,55,8
144,61,8
137,40,8
7,158,8
159,65,8
158,183,8
79,176,8
108,85,8
88,174,8
124,66,8
38,172,8
114,64,8
152,160,8
81,70,8
16,152,9
164,60,9
2,20,9
53,32,9
80,4,9
74,14,9
122,33,9
58,47,9
51,85,9
170,56,9
33,127,9
179,132,9
166,194,9
49,38,9
132,134,9
166,98,9
171,76,9
179,192,9
163,192,9
20,86,9
69,140,9
199,0,9
120,32,9
88,175,9
119,120,9
180,29,9
152,34,9
138,2,9
85,153,9
10,77,9
103,132,9
96,141,9
27,125,9
81,18,9
118,9,9
155,14,9
14,97,9
54,170,9
105,12,9
153,156,9
195,104,9
118,183,9
140,132,9
45,99,9
20,9,9
190,94,9
165,136,9
118,27,9
169,68,9
35,5,9
34,113,10
