user1_id,user2_id,time
9,50,0
109,178,0
19,181,0
31,189,0
174,90,0
17,177,0
190,145,0
57,28,0
175,123,0
8,99,0
42,76,0
41,112,0
26,136,0
131,175,0
62,117,0
53,66,0
175,85,0
99,112,0
177,99,0
96,11,0
146,159,0
156,48,0
177,91,0
7,94,0
176,57,0
186,102,0
102,43,0
117,70,0
107,166,0
64,34,0
194,195,0
12,89,0
106,160,0
198,182,0
94,22,0
199,141,0
18,9,0
68,141,0
39,19,0
46,159,0
2,34,0
184,158,0
153,23,0
183,180,0
2,162,0
128,55,0
166,50,0
73,91,0
124,153,0
18,62,0
42,145,1
15,187,1
158,167,1
187,145,1
65,28,1
50,71,1
152,33,1
102,176,1
149,127,1
150,139,1
18,9,1
183,174,1
1,53,1
145,22,1
67,165,1
56,163,1
166,155,1
184,109,1
78,33,1
34,66,1
166,185,1
42,7,1
47,154,1
9,51,1
71,101,1
182,35,1
22,43,1
61,107,1
122,43,1
28,71,1
93,138,1
69,19,1
197,12,1
42,21,1
28,131,1
178,162,1
49,154,1
87,107,1
179,137,1
72,51,1
192,75,1
78,26,1
112,114,1
143,48,1
69,180,1
152,102,1
46,109,1
63,30,1
49,91,1
166,91,1
73,163,2
27,189,2
35,124,2
113,79,2
67,152,2
29,151,2
65,84,2
168,49,2
142,163,2
185,15,2
138,17,2
98,0,2
31,39,2
96,156,2
173,51,2
196,56,2
198,18,2
80,125,2
189,22,2
107,137,2
2,9,2
124,35,2
26,191,2
75,29,2
11,52,2
190,193,2
109,23,2
146,39,2
20,126,2
128,62,2
38,47,2
64,151,2
75,120,2
24,64,2
158,192,2
3,35,2
79,102,2
194,174,2
136,129,2
89,76,2
125,40,2
107,63,2
142,156,2
104,89,2
159,193,2
89,155,2
138,85,2
42,63,2
193,90,2
196,81,2
187,24,3
156,169,3
118,9,3
123,33,3
103,167,3
188,83,3
8,82,3
60,139,3
19,109,3
97,142,3
33,114,3
141,36,3
74,104,3
71,7,3
167,67,3
22,140,3
143,112,3
149,138,3
103,135,3
186,78,3
73,165,3
52,121,3
89,84,3
119,75,3
135,89,3
116,144,3
37,107,3
65,103,3
74,147,3
48,165,3
64,6,3
87,17,3
32,77,3
47,134,3
101,35,3
99,11,3
169,117,3
62,144,3
109,193,3
45,167,3
58,180,3
148,156,3
15,76,3
60,158,3
158,70,3
54,187,3
103,140,3
89,112,3
49,74,3
139,82,3
80,10,4
111,159,4
109,148,4
177,135,4
117,111,4
7,9,4
114,62,4
7,25,4
71,182,4
140,76,4
22,51,4
137,69,4
92,144,4
39,84,4
149,69,4
31,13,4
71,182,4
14,90,4
148,3,4
133,22,4
74,119,4
19,187,4
89,168,4
61,192,4
189,2,4
176,112,4
116,99,4
99,161,4
27,183,4
180,151,4
156,0,4
119,21,4
7,9,4
186,134,4
106,59,4
14,141,4
92,196,4
76,82,4
25,112,4
22,64,4
131,149,4
81,170,4
144,62,4
199,20,4
95,153,4
66,109,4
87,141,4
3,180,4
174,59,4
131,194,4
151,83,5
26,182,5
47,20,5
182,187,5
152,165,5
147,135,5
95,134,5
57,186,5
179,77,5
191,7,5
78,106,5
183,156,5
131,41,5
42,155,5
68,109,5
18,73,5
99,100,5
56,32,5
104,165,5
30,24,5
107,18,5
89,97,5
32,117,5
161,194,5
151,186,5
36,102,5
135,129,5
42,175,5
122,79,5
22,2,5
12,69,5
72,151,5
156,63,5
69,43,5
1,137,5
56,105,5
196,9,5
36,53,5
99,46,5
31,66,5
3,94,5
62,163,5
178,141,5
36,163,5
93,57,5
129,106,5
173,91,5
84,49,5
142,165,5
31,166,5
163,198,6
161,126,6
83,33,6
107,191,6
23,140,6
171,111,6
167,29,6
29,110,6
106,159,6
116,194,6
189,83,6
186,41,6
172,83,6
86,44,6
4,46,6
104,36,6
126,110,6
120,121,6
119,146,6
158,17,6
9,166,6
99,91,6
194,191,6
10,1,6
26,61,6
45,173,6
50,22,6
109,37,6
117,132,6
150,193,6
65,4,6
67,6,6
137,48,6
130,198,6
40,170,6
189,24,6
170,143,6
85,33,6
15,165,6
126,167,6
25,130,6
114,148,6
168,35,6
55,181,6
107,195,6
38,21,6
169,101,6
175,96,6
147,69,6
143,94,6
55,144,7
32,66,7
172,139,7
192,97,7
135,168,7
114,71,7
105,89,7
135,27,7
183,148,7
160,142,7
44,151,7
115,163,7
68,173,7
70,23,7
45,136,7
124,63,7
9,195,7
35,103,7
95,40,7
76,102,7
6,193,7
32,188,7
194,197,7
67,159,7
0,91,7
151,7,7
44,169,7
159,170,7
65,14,7
57,28,7
108,172,7
109,35,7
18,172,7
134,31,7
32,194,7
20,92,7
164,156,7
118,109,7
156,173,7
115,21,7
136,81,7
18,35,7
187,8,7
149,141,7
161,126,7
141,68,7
119,69,7
75,92,7
101,39,7
27,120,7
52,153,8
24,70,8
88,114,8
21,130,8
34,153,8
93,47,8
136,158,8
186,14,8
79,58,8
189,155,8
74,151,8
47,35,8
37,6,8
22,56,8
66,50,8
182,190,8
52,154,8
181,115,8
94,71,8
18,3,8
1,4,8
131,32,8
3,64,8
113,182,8
70,111,8
187,85,8
101,169,8
64,22,8
29,48,8
22,16,8
30,136,8
164,69,8
152,49,8
39,63,8
154,108,8
58,78,8
175,71,8
186,197,8
92,139,8
38,8,8
122,46,8
36,21,8
126,85,8
114,150,8
103,97,8
177,122,8
72,11,8
193,194,8
3,26,8
14,188,8
29,69,9
113,143,9
153,138,9
128,163,9
151,63,9
10,41,9
136,49,9
188,135,9
82,14,9
14,131,9
162,16,9
91,84,9
167,135,9
96,81,9
79,175,9
115,194,9
80,122,9
147,156,9
169,47,9
156,72,9
118,10,9
183,84,9
125,139,9
167,193,9
157,161,9
140,145,9
199,69,9
153,64,9
176,45,9
104,138,9
43,153,9
46,85,9
43,79,9
21,196,9
57,64,9
70,93,9
112,121,9
173,8,9
7,159,9
164,40,9
118,53,9
103,65,9
166,14,9
152,144,9
145,66,9
129,109,9
160,121,9
85,167,9
180,192,9
84,167,9
178,163,10
48,187,10
144,123,10
51,167,10
117,7,10
133,76,10
180,163,10
130,103,10
34,62,10
197,83,10
129,34,10
184,137,10
179,18,10
69,95,10
158,151,10
151,92,10
57,78,10
73,146,10
131,113,10
162,60,10
102,34,10
112,10,10
77,34,10
36,167,10
179,98,10
111,54,10
126,145,10
130,52,10
108,126,10
38,132,10
28,161,10
195,3,10
160,116,10
108,36,10
162,198,10
50,40,10
133,20,10
64,119,10
46,147,10
169,163,10
84,166,10
53,83,10
188,162,10
144,121,10
24,139,10
180,101,10
70,41,10
96,50,10
176,35,10
9,183,10
29,63,11
8,57,11
62,20,11
49,2,11
67,126,11
133,128,11
52,4,11
72,126,11
139,174,11
115,50,11
111,18,11
166,120,11
107,103,11
25,85,11
55,162,11
13,2,11
151,17,11
112,43,11
24,15,11
91,86,11
168,159,11
157,154,11
116,69,11
185,183,11
109,176,11
136,25,11
58,76,11
172,196,11
118,57,11
36,175,11
117,48,11
147,199,11
199,54,11
90,62,11
114,64,11
52,159,11
181,188,11
28,153,11
3,0,11
23,16,11
75,167,11
143,31,11
136,61,11
77,28,11
99,146,11
147,51,11
32,140,11
116,34,11
76,9,11
11,164,11
30,108,12
68,133,12
75,96,12
10,85,12
77,22,12
144,182,12
167,5,12
131,70,12
23,81,12
160,112,12
90,51,12
112,72,12
70,12,12
160,146,12
28,62,12
149,102,12
114,1,12
147,40,12
53,33,12
134,62,12
65,151,12
192,97,12
88,141,12
101,108,12
10,33,12
79,31,12
191,22,12
68,119,12
111,15,12
35,44,12
113,1,12
101,160,12
160,129,12
30,110,12
81,55,12
21,140,12
132,161,12
102,154,12
149,112,12
50,91,12
175,188,12
113,29,12
75,147,12
185,106,12
23,141,12
28,71,12
142,108,12
187,133,12
11,70,12
63,59,12
80,151,13
54,47,13
109,147,13
118,121,13
168,91,13
130,58,13
141,180,13
107,2,13
53,19,13
156,11,13
146,88,13
66,59,13
65,167,13
136,34,13
13,17,13
32,97,13
91,110,13
54,121,13
116,47,13
115,99,13
197,167,13
105,159,13
149,139,13
119,171,13
170,138,13
178,101,13
132,114,13
23,41,13
110,119,13
106,118,13
43,97,13
79,53,13
146,114,13
181,198,13
149,93,13
45,88,13
57,34,13
117,4,13
195,141,13
74,156,13
17,193,13
17,190,13
146,132,13
148,95,13
30,84,13
138,85,13
58,193,13
109,134,13
193,114,13
33,129,13
99,67,14
136,120,14
50,70,14
108,36,14
72,24,14
171,119,14
14,82,14
52,159,14
144,150,14
46,108,14
74,154,14
96,171,14
67,151,14
29,102,14
183,75,14
138,110,14
129,40,14
139,62,14
76,18,14
45,82,14
163,94,14
192,14,14
146,163,14
135,186,14
157,180,14
77,86,14
67,122,14
94,194,14
103,156,14
29,159,14
48,163,14
77,164,14
180,157,14
62,70,14
40,49,14
150,118,14
88,170,14
72,18,14
188,30,14
78,170,14
99,94,14
124,96,14
91,32,14
36,34,14
83,62,14
132,189,14
107,163,14
162,4,14
190,134,14
166,26,14
151,181,15
101,18,15
89,85,15
63,43,15
35,62,15
110,113,15
5,113,15
29,142,15
60,3,15
173,106,15
65,69,15
53,46,15
87,119,15
68,56,15
131,159,15
22,4,15
36,13,15
95,150,15
21,165,15
159,110,15
98,9,15
127,136,15
153,56,15
82,106,15
142,82,15
155,161,15
159,119,15
106,13,15
85,121,15
22,176,15
65,165,15
87,60,15
111,82,15
152,194,15
35,53,15
182,36,15
26,62,15
118,129,15
8,57,15
175,96,15
156,72,15
125,0,15
64,166,15
107,132,15
36,102,15
109,153,15
126,145,15
5,1,15
108,62,15
14,21,15
22,62,16
158,69,16
64,186,16
139,192,16
15,78,16
114,100,16
160,136,16
67,180,16
157,28,16
127,72,16
84,153,16
149,135,16
130,131,16
88,173,16
5,60,16
14,151,16
1,34,16
113,136,16
177,21,16
43,9,16
168,69,16
80,110,16
131,58,16
34,152,16
25,122,16
155,56,16
48,64,16
114,52,16
173,94,16
63,128,16
132,65,16
117,96,16
120,50,16
24,11,16
184,18,16
95,11,16
121,51,16
29,186,16
95,83,16
143,6,16
13,92,16
153,135,16
116,81,16
155,113,16
140,28,16
160,91,16
105,52,16
104,121,16
43,137,16
55,159,16
50,36,17
163,139,17
96,5,17
2,31,17
162,132,17
73,153,17
152,160,17
57,185,17
100,119,17
74,82,17
76,97,17
92,192,17
77,95,17
30,61,17
86,65,17
28,140,17
89,75,17
193,149,17
5,120,17
46,108,17
66,156,17
170,82,17
189,192,17
123,4,17
121,174,17
178,16,17
159,179,17
5,141,17
132,97,17
167,7,17
58,10,17
162,174,17
105,123,17
76,82,17
130,45,17
66,15,17
100,71,17
150,109,17
43,100,17
97,61,17
55,96,17
94,109,17
149,69,17
83,79,17
58,114,17
175,116,17
158,108,17
111,21,17
75,47,17
167,145,17
45,10,18
3,122,18
43,172,18
55,63,18
112,20,18
42,44,18
59,27,18
190,9,18
136,57,18
197,84,18
93,41,18
63,162,18
178,6,18
150,103,18
122,13,18
150,48,18
152,160,18
61,82,18
122,150,18
133,25,18
142,193,18
57,143,18
187,154,18
58,144,18
42,10,18
156,101,18
179,51,18
129,125,18
195,15,18
102,139,18
148,160,18
171,122,18
107,126,18
106,162,18
136,106,18
38,167,18
182,116,18
29,142,18
169,124,18
173,105,18
77,65,18
72,132,18
192,195,18
108,62,18
130,60,18
16,190,18
74,15,18
108,176,18
9,61,18
179,183,18
88,74,19
130,65,19
21,111,19
196,22,19
173,152,19
14,0,19
39,148,19
166,82,19
104,97,19
122,30,19
91,55,19
44,178,19
167,59,19
111,34,19
98,132,19
165,76,19
42,62,19
175,90,19
143,187,19
107,69,19
146,56,19
142,165,19
72,165,19
123,21,19
87,102,19
159,63,19
138,134,19
17,131,19
38,141,19
118,159,19
74,156,19
135,194,19
165,182,19
156,179,19
106,33,19
184,160,19
174,36,19
147,136,19
183,69,19
19,94,19
55,192,19
149,175,19
62,149,19
115,90,19
109,181,19
187,47,19
144,169,19
15,78,19
108,46,19
32,162,19
38,71,20
120,21,20
102,52,20
11,157,20
33,47,20
122,69,20
131,8,20
166,118,20
146,124,20
6,84,20
49,87,20
129,38,20
127,60,20
17,157,20
17,73,20
114,153,20
6,47,20
185,19,20
49,134,20
8,59,20
137,115,20
48,82,20
69,128,20
198,136,20
156,86,20
57,156,20
90,65,20
176,109,20
152,128,20
195,167,20
119,22,20
118,34,20
185,53,20
183,173,20
135,119,20
174,144,20
110,167,20
52,89,20
161,162,20
87,6,20
107,21,20
124,84,20
2,167,20
88,56,20
136,63,20
4,64,20
86,73,20
81,8,20
151,61,20
181,125,20
133,141,21
108,16,21
54,170,21
20,65,21
186,71,21
116,168,21
50,166,21
81,8,21
89,68,21
178,70,21
99,1,21
65,139,21
94,194,21
29,9,21
117,105,21
0,43,21
189,51,21
58,56,21
102,10,21
7,55,21
114,60,21
68,55,21
27,58,21
160,1,21
55,86,21
11,167,21
107,134,21
184,75,21
173,41,21
129,90,21
180,69,21
36,69,21
177,162,21
24,194,21
72,27,21
65,159,21
61,91,21
33,113,21
163,114,21
194,57,21
103,25,21
173,60,21
22,77,21
18,122,21
175,60,21
7,55,21
106,101,21
171,197,21
24,49,21
65,56,21
170,82,22
15,141,22
29,74,22
186,101,22
44,145,22
81,55,22
133,15,22
86,156,22
109,117,22
163,184,22
0,188,22
73,28,22
104,125,22
100,29,22
159,98,22
13,161,22
131,134,22
171,90,22
85,92,22
147,34,22
183,138,22
90,59,22
162,119,22
141,146,22
138,7,22
143,192,22
134,1,22
99,69,22
100,108,22
75,128,22
103,168,22
