user1_id,user2_id,time
145,145,0
58,58,0
16,16,0
149,149,0
95,132,0
14,14,0
92,92,0
94,165,0
175,175,0
104,104,0
159,159,0
17,35,0
15,15,0
15,125,0
129,151,0
6,6,0
137,137,0
76,76,0
173,173,0
192,192,0
104,104,0
40,40,0
43,43,0
37,116,0
132,132,0
62,62,0
171,63,0
113,112,0
97,149,0
66,66,0
22,33,0
0,0,0
140,113,0
83,83,0
193,193,0
160,92,0
122,122,0
20,3,0
113,113,0
197,199,0
56,56,0
77,180,0
199,30,0
74,57,0
13,36,0
111,99,0
110,110,0
148,148,0
138,138,0
111,80,0
136,136,1
92,92,1
93,93,1
84,84,1
24,24,1
102,102,1
177,177,1
117,117,1
136,136,1
72,72,1
7,7,1
141,141,1
192,192,1
79,107,1
111,111,1
183,57,1
21,21,1
151,151,1
41,41,1
48,41,1
176,176,1
106,133,1
78,78,1
95,132,1
144,144,1
147,147,1
50,50,1
67,67,1
12,12,1
71,144,1
16,21,1
163,163,1
125,125,1
92,3,1
58,58,1
45,150,1
160,160,1
21,44,1
90,90,1
128,66,1
198,198,1
21,34,1
161,161,1
150,53,1
157,157,1
152,152,1
35,40,1
171,171,1
65,12,1
141,141,1
170,170,2
28,185,2
134,194,2
191,191,2
20,20,2
32,32,2
33,190,2
105,105,2
19,19,2
115,104,2
173,5,2
111,111,2
97,97,2
116,116,2
156,156,2
117,117,2
5,53,2
112,107,2
51,51,2
64,64,2
32,32,2
44,44,2
52,162,2
134,64,2
113,95,2
49,67,2
177,177,2
59,59,2
199,199,2
65,65,2
190,190,2
26,26,2
16,16,2
125,125,2
199,199,2
91,91,2
52,52,2
48,48,2
109,109,2
126,126,2
194,133,2
36,36,2
118,67,2
66,66,2
1,1,2
37,37,2
84,108,2
181,181,2
14,14,2
53,116,2
72,72,3
23,23,3
106,143,3
29,54,3
168,168,3
63,63,3
104,35,3
170,170,3
108,108,3
91,91,3
142,43,3
14,14,3
141,152,3
91,91,3
58,58,3
103,94,3
78,78,3
36,36,3
40,40,3
197,197,3
100,192,3
33,125,3
12,135,3
93,93,3
30,30,3
2,91,3
188,193,3
85,85,3
125,125,3
23,23,3
173,173,3
156,3,3
122,57,3
97,97,3
32,32,3
69,69,3
172,172,3
135,135,3
109,27,3
181,57,3
14,14,3
161,161,3
23,23,3
65,65,3
155,36,3
115,115,3
107,163,3
0,0,3
4,4,3
51,51,3
100,100,4
0,0,4
185,39,4
198,198,4
4,4,4
5,5,4
66,104,4
39,82,4
157,157,4
143,143,4
169,169,4
178,178,4
194,77,4
62,62,4
70,70,4
63,152,4
83,83,4
140,176,4
198,198,4
37,37,4
24,24,4
52,52,4
24,24,4
62,186,4
126,126,4
18,18,4
117,133,4
52,52,4
96,96,4
136,136,4
134,134,4
71,71,4
3,3,4
3,50,4
88,88,4
190,37,4
4,107,4
74,74,4
116,116,4
152,152,4
174,62,4
163,163,4
29,29,4
38,38,4
85,85,4
185,185,4
79,79,4
173,16,4
158,158,4
184,184,4
78,78,5
119,119,5
168,113,5
195,195,5
103,103,5
8,8,5
46,46,5
131,131,5
61,61,5
97,97,5
24,77,5
22,22,5
166,166,5
61,61,5
99,99,5
131,97,5
165,165,5
7,7,5
166,166,5
145,145,5
111,93,5
27,27,5
51,51,5
191,166,5
115,13,5
0,0,5
29,29,5
127,127,5
72,72,5
146,146,5
11,11,5
